product_id,product_name,category,subcategory,brand,supplier,unit_cost,selling_price,launch_date
5001,TravelMate Kitchen 1,Home & Kitchen,Kitchen,TravelMate,GlobalTrade,548.31,742.76,9/14/2024
5002,UrbanWear Accessories 2,Electronics,Accessories,UrbanWear,PrimeSupply,1761.52,2613.91,1/6/2024
5003,TravelMate Audio 3,Electronics,Audio,TravelMate,RetailSource,4991.74,5688.3,6/8/2025
5004,TrailMaster Mobiles 4,Electronics,Mobiles,TrailMaster,ValueChain,5037.18,8360.47,2/16/2023
5005,PageTurner Watches 5,Accessories,Watches,PageTurner,GlobalTrade,210.61,285.89,11/4/2023
5006,GlowCare Cycling 6,Sports,Cycling,GlowCare,MetroDistributors,391.95,663.4,1/30/2025
5007,TrailMaster Kitchen 7,Home & Kitchen,Kitchen,TrailMaster,PrimeSupply,1430.68,2135.49,9/1/2023
5008,TimeCraft Skincare 8,Beauty,Skincare,TimeCraft,GlobalTrade,1421.77,2096.7,7/18/2023
5009,PureSkin Outdoor 9,Sports,Outdoor,PureSkin,RetailSource,2658.89,3291.38,12/31/2024
5010,GlowCare Kitchen 10,Home & Kitchen,Kitchen,GlowCare,ValueChain,673.27,900.53,6/11/2025
5011,TechEdge Furniture 11,Home & Kitchen,Furniture,TechEdge,MetroDistributors,4164.25,4796.07,7/4/2023
5012,TrendLine Haircare 12,Beauty,Haircare,TrendLine,MetroDistributors,412.95,652.86,2/22/2024
5013,PureHarvest Household 13,Grocery,Household,PureHarvest,MetroDistributors,89.94,129.36,9/1/2025
5014,TrailMaster Computing 14,Electronics,Computing,TrailMaster,PrimeSupply,1766.52,2014.53,5/25/2023
5015,PageTurner Beverages 15,Grocery,Beverages,PageTurner,ValueChain,121.11,189.74,5/19/2023
5016,TechEdge Cycling 16,Sports,Cycling,TechEdge,RetailSource,340.66,442.09,9/4/2023
5017,DailyFresh Men's Wear 17,Fashion,Men's Wear,DailyFresh,GlobalTrade,1494.55,1942.83,4/24/2024
5018,GlowCare Audio 18,Electronics,Audio,GlowCare,ValueChain,2839.26,3889.95,4/12/2025
5019,StyleHub Skincare 19,Beauty,Skincare,StyleHub,RetailSource,1111.59,1800.93,3/11/2024
5020,SoundMax Accessories 20,Fashion,Accessories,SoundMax,MetroDistributors,308.73,459.19,1/9/2024
5021,PureHarvest Decor 21,Home & Kitchen,Decor,PureHarvest,GlobalTrade,1557.01,2012.57,4/29/2025
5022,FitPro Household 22,Grocery,Household,FitPro,RetailSource,187.07,303.65,9/14/2023
5023,KitchenPro Accessories 23,Fashion,Accessories,KitchenPro,PrimeSupply,1518.05,2139.37,1/2/2024
5024,GlowCare Audio 24,Electronics,Audio,GlowCare,RetailSource,1658.16,2387.89,9/6/2023
5025,TimeCraft Kitchen 25,Home & Kitchen,Kitchen,TimeCraft,RetailSource,1337.96,1793.66,4/21/2023
5026,DailyFresh Storage 26,Home & Kitchen,Storage,DailyFresh,GlobalTrade,3276.6,5627.86,8/6/2024
5027,KitchenPro Travel 27,Accessories,Travel,KitchenPro,ValueChain,1731.27,2629.76,8/26/2025
5028,ReadMore Decor 28,Home & Kitchen,Decor,ReadMore,MetroDistributors,1821.73,2323.14,9/14/2023
5029,NovaTech Haircare 29,Beauty,Haircare,NovaTech,ValueChain,1457.83,1961.26,3/14/2023
5030,StyleHub Academic 30,Books,Academic,StyleHub,PrimeSupply,193.17,228.13,7/24/2025
5031,GlowCare Accessories 31,Electronics,Accessories,GlowCare,RetailSource,5400.3,6909.73,4/17/2023
5032,FitPro Footwear 32,Fashion,Footwear,FitPro,ValueChain,1458.2,2107.89,2/19/2023
5033,NovaTech Cycling 33,Sports,Cycling,NovaTech,PrimeSupply,496.39,794.48,1/6/2025
5034,KitchenPro Organic 34,Grocery,Organic,KitchenPro,GlobalTrade,653.14,788.39,6/5/2023
5035,HomeCraft Yoga 35,Sports,Yoga,HomeCraft,ValueChain,375.87,537.07,9/22/2025
5036,UrbanWear Mobiles 36,Electronics,Mobiles,UrbanWear,PrimeSupply,2045.05,2620.7,3/4/2024
5037,TrailMaster Storage 37,Home & Kitchen,Storage,TrailMaster,RetailSource,4571.93,5526.1,11/1/2024
5038,SoundMax Bags 38,Fashion,Bags,SoundMax,PrimeSupply,878.49,1109.86,7/28/2023
5039,PageTurner Accessories 39,Fashion,Accessories,PageTurner,GlobalTrade,654.22,850.77,7/31/2023
5040,PixelPro Jewelry 40,Accessories,Jewelry,PixelPro,ValueChain,263.24,404.4,2/17/2025
5041,TrendLine Audio 41,Electronics,Audio,TrendLine,GlobalTrade,4774.83,6648.84,5/24/2024
5042,DailyFresh Kitchen 42,Home & Kitchen,Kitchen,DailyFresh,RetailSource,4212.19,5020.46,7/5/2025
5043,PureHarvest Women's Wear 43,Fashion,Women's Wear,PureHarvest,ValueChain,757.93,1200.27,7/10/2025
5044,TravelMate Computing 44,Electronics,Computing,TravelMate,GlobalTrade,2857.96,4889.59,8/23/2024
5045,StyleHub Women's Wear 45,Fashion,Women's Wear,StyleHub,MetroDistributors,862.13,1456.32,2/19/2025
5046,TrendLine Mobiles 46,Electronics,Mobiles,TrendLine,RetailSource,1829.75,2109.92,5/4/2025
5047,PureHarvest Household 47,Grocery,Household,PureHarvest,MetroDistributors,131.85,210.08,8/4/2024
5048,PixelPro Decor 48,Home & Kitchen,Decor,PixelPro,RetailSource,457.78,569.16,3/11/2025
5049,TimeCraft Fragrance 49,Beauty,Fragrance,TimeCraft,ValueChain,1464.46,2129.48,1/27/2023
5050,SoundMax Cycling 50,Sports,Cycling,SoundMax,ValueChain,887.31,1035.81,6/8/2023
5051,SoundMax Storage 51,Home & Kitchen,Storage,SoundMax,ValueChain,2090.06,3469.5,4/19/2024
5052,NovaTech Women's Wear 52,Fashion,Women's Wear,NovaTech,GlobalTrade,1688.48,1998.02,3/20/2023
5053,Voltix Personal Care 53,Beauty,Personal Care,Voltix,PrimeSupply,603.41,794.83,4/6/2024
5054,PureHarvest Household 54,Grocery,Household,PureHarvest,PrimeSupply,602.72,925.4,9/21/2024
5055,Voltix Women's Wear 55,Fashion,Women's Wear,Voltix,MetroDistributors,1721.77,2277.84,1/3/2024
5056,StyleHub Women's Wear 56,Fashion,Women's Wear,StyleHub,ValueChain,275.33,422.17,9/9/2025
5057,ReadMore Skincare 57,Beauty,Skincare,ReadMore,GlobalTrade,830.07,991.06,5/22/2025
5058,PureHarvest Bags 58,Fashion,Bags,PureHarvest,RetailSource,1724.82,2065.13,4/11/2025
5059,StyleHub Non-Fiction 59,Books,Non-Fiction,StyleHub,PrimeSupply,465.06,698.38,12/13/2024
5060,UrbanNest Mobiles 60,Electronics,Mobiles,UrbanNest,RetailSource,1179.81,1821.91,9/8/2024
5061,StyleHub Bags 61,Fashion,Bags,StyleHub,MetroDistributors,705.06,968.45,10/23/2024
5062,PureSkin Watches 62,Accessories,Watches,PureSkin,PrimeSupply,1646.89,2726.44,4/21/2023
5063,KitchenPro Fitness 63,Sports,Fitness,KitchenPro,ValueChain,673.77,1009.96,7/26/2025
5064,TrailMaster Accessories 64,Fashion,Accessories,TrailMaster,ValueChain,770.95,1217.28,2/18/2025
5065,ReadMore Fiction 65,Books,Fiction,ReadMore,ValueChain,215.4,291.59,10/17/2023
5066,SoundMax Accessories 66,Fashion,Accessories,SoundMax,ValueChain,307.29,510.45,11/13/2024
5067,DailyFresh Bags 67,Fashion,Bags,DailyFresh,PrimeSupply,2249.58,2821.92,2/18/2024
5068,TrailMaster Furniture 68,Home & Kitchen,Furniture,TrailMaster,RetailSource,1709.53,2230.33,7/22/2025
5069,SoundMax Computing 69,Electronics,Computing,SoundMax,RetailSource,2004.17,2312.96,6/19/2024
5070,ReadMore Mobiles 70,Electronics,Mobiles,ReadMore,PrimeSupply,5368.12,6767.18,12/10/2024
5071,TrendLine Academic 71,Books,Academic,TrendLine,ValueChain,266.89,438.11,7/8/2023
5072,NovaTech Bags 72,Fashion,Bags,NovaTech,PrimeSupply,298.93,417.63,4/14/2023
5073,SoundMax Gadgets 73,Accessories,Gadgets,SoundMax,MetroDistributors,1694.58,2659.36,6/19/2025
5074,SoundMax Mobiles 74,Electronics,Mobiles,SoundMax,GlobalTrade,2100.1,2561.91,9/1/2024
5075,UrbanWear Appliances 75,Home & Kitchen,Appliances,UrbanWear,RetailSource,3025.88,3534.57,10/26/2024
5076,TrendLine Yoga 76,Sports,Yoga,TrendLine,RetailSource,1381.79,1706.4,2/8/2024
5077,HomeCraft Audio 77,Electronics,Audio,HomeCraft,GlobalTrade,5323.73,6948.45,9/22/2024
5078,TravelMate Skincare 78,Beauty,Skincare,TravelMate,RetailSource,395.54,616.42,2/26/2024
5079,NovaTech Cameras 79,Electronics,Cameras,NovaTech,MetroDistributors,1451.32,2074.16,9/28/2024
5080,TravelMate Audio 80,Electronics,Audio,TravelMate,RetailSource,5804.09,8474.52,9/24/2024
5081,TechEdge Personal Care 81,Beauty,Personal Care,TechEdge,GlobalTrade,181.42,298.67,8/9/2023
5082,PixelPro Skincare 82,Beauty,Skincare,PixelPro,GlobalTrade,254.6,330.92,6/18/2025
5083,TrendLine Decor 83,Home & Kitchen,Decor,TrendLine,MetroDistributors,528.63,796.8,8/3/2025
5084,PageTurner Furniture 84,Home & Kitchen,Furniture,PageTurner,GlobalTrade,790.75,986.38,1/29/2025
5085,FitPro Storage 85,Home & Kitchen,Storage,FitPro,RetailSource,1147.01,1444.28,1/21/2023
5086,ReadMore Accessories 86,Electronics,Accessories,ReadMore,ValueChain,4593.98,6362.89,1/23/2023
5087,StyleHub Stationery 87,Accessories,Stationery,StyleHub,RetailSource,749.4,901.25,3/15/2025
5088,PureHarvest Cycling 88,Sports,Cycling,PureHarvest,GlobalTrade,2829.87,3649.87,5/27/2023
5089,ReadMore Mobiles 89,Electronics,Mobiles,ReadMore,MetroDistributors,2667.32,3304.07,9/4/2025
